Year,Fault Eviction Notices,No Fault Eviction Notices
1989,1,
1990,277,
1991,253,38
1992,171,47
1993,130,83
1994,131,95
1995,179,97
1996,218,194
1997,288,318
1998,290,421
1999,291,317
2000,271,349
2001,234,290
2002,187,212
2003,223,164
2004,177,179
2005,187,187
2006,217,145
2007,226,119
2008,265,105
2009,233,72
2010,348,80
2011,360,68
2012,236,146
2013,273,173
2014,326,109
