Year,Number of Eviction Notices
1989,1
1990,277
1991,291
1992,218
1993,213
1994,226
1995,276
1996,412
1997,606
1998,711
1999,608
2000,620
2001,524
2002,399
2003,387
2004,356
2005,374
2006,362
2007,345
2008,370
2009,305
2010,428
2011,428
2012,382
2013,446
2014,435
